"amvcountryname","amvregion","amvpopulation","amvareasqmiles","amvdensitypersqkm","amvnetmigration","amvmortalityper1000","amvgdp","amvliteracy","amvphonesper1000","amvarable","amvcrops","amvothers","amvbirthrate","amvdeathrate"
"Switzerland ","WESTERN EUROPE                     ","7523934","41290","182.2","4.05","4.39","32700","99","680.9","10.4","0.61","88.97","9.71","8.49"
"Syria ","NEAR EAST                          ","18881361","185180","102","0","29.53","3300","76.9","153.8","25.2","4.43","70.35","27.7","4.81"
"Taiwan ","ASIA (EX. NEAR EAST)         ","23036087","35980","640.3","0","6.4","23400","96.1","591","24","1","75","12.5","6.48"
"Tajikistan ","C.W. OF IND. STATES ","7320815","143100","51.2","-2.86","110.7","1000","99.4","33.5","6.61","0.92","92.47","32.6","8.25"
"Tanzania ","SUB-SAHARAN AFRICA                 ","37445392","945087","39.6","-2.06","98.54","600","78.2","4","4.52","1.08","94.4","37.7","16.3"
"Thailand ","ASIA (EX. NEAR EAST)         ","64631595","514000","125.7","0","20.48","7400","92.6","108.9","29.3","6.46","64.18","13.8","7.04"
"Togo ","SUB-SAHARAN AFRICA                 ","5548702","56785","97.7","0","66.61","1500","60.9","10.6","46.1","2.21","51.64","37.0","9.83"
"Tonga ","OCEANIA                            ","114689","748","153.3","0","12.62","2200","98.5","97.7","23.6","43.0","33.33","25.3","5.28"
"Trinidad & Tobago ","LATIN AMER. & CARIB    ","1065842","5128","207.9","-10.8","24.31","9500","98.6","303.5","14.6","9.16","76.22","12.9","10.5"
"Tunisia ","NORTHERN AFRICA                    ","10175014","163610","62.2","-0.57","24.77","6900","74.2","123.6","17.8","13.7","68.4","15.5","5.13"
"Turkey ","NEAR EAST                          ","70413958","780580","90.2","0","41.04","6700","86.5","269.5","30.9","3.31","65.76","16.6","5.97"
"Turkmenistan ","C.W. OF IND. STATES ","5042920","488100","10.3","-0.86","73.08","5800","98","74.6","3.72","0.14","96.14","27.6","8.6"
"Turks & Caicos Is ","LATIN AMER. & CARIB    ","21152","430","49.2","11.68","15.67","9600","98","269.5","2.33","0","97.67","21.8","4.21"
"Tuvalu ","OCEANIA                            ","11810","26","454.2","0","20.03","1100","82","59.3","0","0","100","22.1","7.11"
"Uganda ","SUB-SAHARAN AFRICA                 ","28195754","236040","119.5","0","67.83","1400","69.9","3.6","25.8","10.6","63.47","47.3","12.2"
"Ukraine ","C.W. OF IND. STATES ","46710816","603700","77.4","-0.39","20.34","5400","99.7","259.9","56.2","1.61","42.18","8.82","14.3"
"United Arab Emirates ","NEAR EAST                          ","2602713","82880","31.4","1.03","14.51","23200","77.9","475.3","0.6","2.25","97.15","18.9","4.4"
"United Kingdom ","WESTERN EUROPE                     ","60609153","244820","247.6","2.19","5.16","27700","99","543.5","23.4","0.21","76.33","10.7","10.1"
"United States ","NORTHERN AMERICA                   ","298444215","9631420","31","3.41","6.5","37800","97","898","19.1","0.22","80.65","14.1","8.26"
"Uruguay ","LATIN AMER. & CARIB    ","3431932","176220","19.5","-0.32","11.95","12800","98","291.4","7.43","0.23","92.34","13.9","9.05"
"Uzbekistan ","C.W. OF IND. STATES ","27307134","447400","61","-1.72","71.1","1700","99.3","62.9","10.8","0.83","88.34","26.3","7.84"
"Vanuatu ","OCEANIA                            ","208869","12200","17.1","0","55.16","2900","53","32.6","2.46","7.38","90.16","22.7","7.82"
"Venezuela ","LATIN AMER. & CARIB    ","25730435","912050","28.2","-0.04","22.2","4800","93.4","140.1","2.95","0.92","96.13","18.7","4.92"
"Vietnam ","ASIA (EX. NEAR EAST)         ","84402966","329560","256.1","-0.45","25.95","2500","90.3","187.7","19.9","5.95","74.08","16.8","6.22"
"Virgin Islands ","LATIN AMER. & CARIB    ","108605","1910","56.9","-8.94","8.03","17200","96.9","652.8","11.7","2.94","85.3","13.9","6.43"
"Wallis and Futuna ","OCEANIA                            ","16025","274","58.5","0","5","3700","50","118.6","5","25","70",,
"West Bank ","NEAR EAST                          ","2460492","5860","419.9","2.98","19.62","800","97.5","145.2","16.9","18.9","64.13","31.6","3.92"
"Western Sahara ","NORTHERN AFRICA                    ","273008","266000","1","0","58","2500","95",,"0.02","0","99.98",,
"Yemen ","NEAR EAST                          ","21456188","527970","40.6","0","61.5","800","50.2","37.2","2.78","0.24","96.98","42.8","8.3"
"Zambia ","SUB-SAHARAN AFRICA                 ","11502010","752614","15.3","0","88.29","800","80.6","8.2","7.08","0.03","92.9","41","19.9"
"Zimbabwe ","SUB-SAHARAN AFRICA                 ","12236805","390580","31.3","0","67.69","1900","90.7","26.8","8.32","0.34","91.34","28.0","21.8"
"China","ASIA (EX. NEAR EAST)","1313973713","9596960","136.9","-0.4","24.18","5000","90.9","266.7","15.4","1.25","83.35","13.2","6.97"
"Philippines","ASIA (EX. NEAR EAST)","89468677","300000","298.2","-1.5","23.51","4600","92.6","38.","18.9","16.7","64.28","24.8","5.41"
"Philippines","ASIA (EX. NEAR EAST)","89468677","300000","298.2","-1.5","23.51","4600","92.6","38.4","18.9","16.7","64.28","24.8","5.41"
"Brunei","ASIA (EX. NEAR EAST)","379444","5770","65.8","3.59","12.61","18600","93.9","237.2","0.57","0.76","98.67","18.7","3.45"
"Indonesia","ASIA (EX. NEAR EAST)","2.45E+08","1919440","127.9","0","35.6","3200","87.9","52","11.3","7.23","81.45","20.3","6.25"
"Singapore","ASIA (EX. NEAR EAST)","4492150","693","6482.2","11.53","2.29","23700","92.5","411.4","1.64","0","98.36","9.34","4.28"
